Year,ENSO
1896,Neutral
1897,El Niño
1898,Neutral
1899,Neutral
1900,El Niño
1901,Neutral
1902,Neutral
1903,El Niño
1904,La Niña
1905,Neutral
1906,El Niño
1907,Neutral
1908,Neutral
1909,La Niña
1910,La Niña
1911,La Niña
1912,Neutral
1913,Neutral
1914,Neutral
1915,El Niño
1916,Neutral
1917,La Niña
1918,La Niña
1919,El Niño
1920,Neutral
1921,Neutral
1922,Neutral
1923,Neutral
1924,Neutral
1925,La Niña
1926,El Niño
1927,Neutral
1928,Neutral
1929,Neutral
1930,Neutral
1931,El Niño
1932,Neutral
1933,Neutral
1934,La Niña
1935,Neutral
1936,Neutral
1937,Neutral
1938,Neutral
1939,La Niña
1940,Neutral
1941,El Niño
1942,El Niño
1943,La Niña
1944,Neutral
1945,Neutral
1946,Neutral
1947,Neutral
1948,Neutral
1949,Neutral
1950,La Niña
1951,La Niña
1952,Neutral
1953,Neutral
1954,Neutral
1955,La Niña
1956,La Niña
1957,Neutral
1958,El Niño
1959,Neutral
1960,Neutral
1961,Neutral
1962,La Niña
1963,Neutral
1964,Neutral
1965,Neutral
1966,El Niño
1967,Neutral
1968,Neutral
1969,Neutral
1970,Neutral
1971,La Niña
1972,Neutral
1973,El Niño
1974,La Niña
1975,Neutral
1976,La Niña
1977,Neutral
1978,El Niño
1979,Neutral
1980,El Niño
1981,Neutral
1982,Neutral
1983,El Niño
1984,Neutral
1985,Neutral
1986,Neutral
1987,El Niño
1988,El Niño
1989,La Niña
1990,Neutral
1991,Neutral
1992,El Niño
1993,Neutral
1994,Neutral
1995,El Niño
1996,Neutral
1997,Neutral
1998,El Niño
1999,La Niña
2000,La Niña
2001,Neutral
2002,Neutral
2003,El Niño
2004,Neutral
2005,Neutral
2006,Neutral
2007,El Niño
2008,La Niña
2009,Neutral
2010,El Niño
2011,La Niña
2012,La Niña
2013,Neutral
2014,Neutral
2015,Neutral
2016,El Niño
2017,Neutral
2018,Neutral
2019,Neutral
2020,Neutral
2021,La Niña
2022,La Niña
